text,label
مرحبا كيف حالك,0
شكرا لتواصلك سنرد عليك قريبا,0
تم استلام رسالتك وسنتواصل معك قريبا,0
موعد الاجتماع غدا الساعة 10 صباحا,0
هذه رسالة تاكيد الحجز,0
اهلا بك في منصتنا,0
هذا موقع اخبار رسمي,0
https://www.bbc.com,0
hello my friend,0
thank you for your message we will contact you soon,0
your appointment is confirmed,0
meeting tomorrow at 10am,0
payment received thank you,0
welcome to our service,0
your account settings were updated successfully,0
if you did not request this password reset you can ignore this email,0
please see the report you requested,0
your order has been shipped,0
invoice for your purchase is attached,0
تم تحديث كلمة المرور بنجاح,0
يرجى التحقق من حسابك الآن لتجنب الايقاف,1
تم تعليق حسابك يرجى التحقق الان,1
تحديث حسابك البنكي الان لتجنب الايقاف,1
اضغط هنا لتاكيد بياناتك,1
تم رصد نشاط مشبوه سجل الدخول من الرابط,1
لقد ربحت جائزة ادخل معلوماتك لاستلامها,1
يرجى ادخال رمز التحقق OTP,1
ادفع الرسوم الان لتسليم الطرد,1
please verify your account now,1
urgent verify your account to avoid suspension,1
your account will be locked in 24 hours click the link,1
confirm your password immediately,1
login now to secure your bank account,1
we detected unusual activity sign in here,1
you have won a free prize click here,1
update your billing information now,1
click here to receive your refund,1
secure-login-paypal.com,1
http://secure-login-paypal.com/login,1
www.secure-login-paypal.com,1
verify-account-security.com,1
